"","ID","CC1","CC2","CC3","CC4","CC5","CC6","Exp1.CC1","Exp1.CC2","Exp1.CC3","X1_Exp1.Test.Jump","X2_Exp1.Test.Jump","X3_Exp1.Test.Jump","X4_Exp1.Test.Jump","X5_Exp1.Test.Jump","X6_Exp1.Test.Jump","X7_Exp1.Test.Jump","X1_Exp1.Test.Fall","X2_Exp1.Test.Fall","X3_Exp1.Test.Fall","X4_Exp1.Test.Fall","X5_Exp1.Test.Fall","X6_Exp1.Test.Fall","X7_Exp1.Test.Fall","Exp2.CC1","Exp2.CC2","Exp2.CC3","X1_Exp2.Test","X2_Exp2.Test","X3_Exp2.Test","X4_Exp2.Test","X5_Exp2.Test","X6_Exp2.Test","X7_Exp2.Test","Exp3.CC1","Exp3.CC2","Exp3.CC3","X1_Exp3.Test","X2_Exp3.Test","X3_Exp3.Test","X4_Exp3.Test","X5_Exp3.Test","Exp4.CC1","Exp4.CC2","Exp4.CC3","X1_Exp4.Test","X2_Exp4.Test","X3_Exp4.Test","X4_Exp4.Test","X5_Exp4.Test","X6_Exp4.Test","X7_Exp4.Test","AC","AC_check","Age","Sex","Order_Exps1","Order_Exp2","Order_Exp3","Order_Exp4","Order_Exps","Version","Duration","group","Age_Months","Age_Years"
"11","11","deeper","deeper","deeper","No!","No!","figure out what Wendi likes and which cliffs she'll jump",29,53,100,44,38,30,20,16,9,3,57,62,72,77,85,91,97,32,100,53,1,14,10,45,91,89,98,30,50,100,36,24,25,18,12,100,25,51,100,84,78,51,24,12,0,"Wendi's favorite gelato flavor is sea salt caramel",0,38,"male","|Exp1A.2|Exp1A.5|Exp1A.3|Exp1A.6|Exp1A.4|Exp1A.7|Exp1A.1","|Exp2A.1|Exp2A.2|Exp2A.4|Exp2A.3|Exp2A.5","|Exp3A.7|Exp3A.4|Exp3A.2|Exp3A.5|Exp3A.1|Exp3A.6|Exp3A.3","|Exp4A.4|Exp4A.1|Exp4A.5|Exp4A.7|Exp4A.6|Exp4A.3|Exp4A.2",2,"A",494,"adults",NA,NA
"12","12","deeper","deeper","deeper","No!","No!","to find out which cliff wendi likes more",71,50,9,86,72,59,29,29,9,9,72,63,30,10,6,9,9,31,89,51,90,90,91,50,10,25,14,72,50,9,51,66,64,60,61,95,20,51,6,9,7,37,51,50,57,"Wendi's favorite gelato flavor is sea salt caramel",0,35,"female","|Exp1B.5|Exp1B.3|Exp1B.1|Exp1B.7|Exp1B.2|Exp1B.4|Exp1B.6","|Exp2B.5|Exp2B.2|Exp2B.4|Exp2B.3|Exp2B.1","|Exp3B.3|Exp3B.6|Exp3B.4|Exp3B.1|Exp3B.7|Exp3B.5|Exp3B.2","|Exp4B.4|Exp4B.6|Exp4B.5|Exp4B.7|Exp4B.3|Exp4B.1|Exp4B.2",2,"B",489,"adults",NA,NA
"13","13","deeper","deeper","deeper","No!","No!","TO find out what kind of items Wendi likes and the jump.",29,51,100,51,61,64,61,67,91,89,61,69,77,90,100,96,100,32,100,51,34,30,26,51,70,92,90,28,49,100,51,51,42,40,54,100,23,51,100,88,75,51,21,23,3,"Wendi's favorite gelato flavor is sea salt caramel",0,29,"male","|Exp1A.2|Exp1A.6|Exp1A.3|Exp1A.5|Exp1A.1|Exp1A.7|Exp1A.4","|Exp2A.5|Exp2A.4|Exp2A.2|Exp2A.3|Exp2A.1","|Exp3A.5|Exp3A.7|Exp3A.1|Exp3A.4|Exp3A.6|Exp3A.3|Exp3A.2","|Exp4A.5|Exp4A.4|Exp4A.3|Exp4A.1|Exp4A.7|Exp4A.2|Exp4A.6",2,"A",368,"adults",NA,NA
"14","14","deeper","deeper","deeper","No!","No!","To figure out which cliffs Wendi will jump and which objects she likes.",72,50,0,100,71,71,30,70,0,50,51,30,31,31,31,0,0,30,100,51,100,100,69,51,32,32,0,70,51,0,71,71,72,71,71,100,22,51,0,0,7,49,36,78,100,"Wendi's favorite gelato flavor is sea salt caramel",0,54,"female","|Exp1B.7|Exp1B.5|Exp1B.6|Exp1B.1|Exp1B.3|Exp1B.2|Exp1B.4","|Exp2B.4|Exp2B.2|Exp2B.5|Exp2B.1|Exp2B.3","|Exp3B.5|Exp3B.2|Exp3B.7|Exp3B.6|Exp3B.4|Exp3B.1|Exp3B.3","|Exp4B.7|Exp4B.5|Exp4B.1|Exp4B.3|Exp4B.6|Exp4B.2|Exp4B.4",2,"B",500,"adults",NA,NA
"15","15","deeper","deeper","deeper","No!","No!","To figure out which cliff Wendy needs to jump",32,52,93,26,23,52,51,63,83,66,54,60,75,65,80,97,87,31,89,49,10,14,19,62,78,85,72,31,50,100,38,34,41,38,30,92,15,51,89,88,76,52,23,8,8,"Wendi's favorite gelato flavor is sea salt caramel",0,50,"male","|Exp1A.4|Exp1A.1|Exp1A.5|Exp1A.2|Exp1A.3|Exp1A.6|Exp1A.7","|Exp2A.1|Exp2A.2|Exp2A.5|Exp2A.4|Exp2A.3","|Exp3A.5|Exp3A.1|Exp3A.6|Exp3A.7|Exp3A.2|Exp3A.3|Exp3A.4","|Exp4A.6|Exp4A.2|Exp4A.7|Exp4A.3|Exp4A.5|Exp4A.1|Exp4A.4",3,"A",545,"adults",NA,NA
"16","16","deeper","deeper","deeper","No!","No!","To determine which objects Wendi likes and if you can jump over the cliffs",29,51,93,20,22,30,31,33,33,33,58,66,73,72,74,94,94,32,100,51,17,30,31,71,68,70,71,30,51,100,30,37,23,22,19,94,24,51,98,79,51,36,30,21,2,"Wendi's favorite gelato flavor is sea salt caramel",0,25,"male","|Exp1A.5|Exp1A.6|Exp1A.2|Exp1A.4|Exp1A.7|Exp1A.3|Exp1A.1","|Exp2A.1|Exp2A.3|Exp2A.5|Exp2A.2|Exp2A.4","|Exp3A.6|Exp3A.7|Exp3A.3|Exp3A.4|Exp3A.1|Exp3A.5|Exp3A.2","|Exp4A.5|Exp4A.2|Exp4A.1|Exp4A.4|Exp4A.3|Exp4A.6|Exp4A.7",1,"A",574,"adults",NA,NA
"17","17","deeper","deeper","deeper","No!","No!","To figure out which objects she likes and which cliff she will jump.",70,51,0,51,80,46,38,20,29,19,36,30,29,18,9,0,0,32,100,50,70,70,70,51,32,32,20,71,50,0,39,60,71,71,72,100,24,51,22,22,38,38,36,80,100,"Wendi's favorite gelato flavor is sea salt caramel",0,44,"female","|Exp1B.4|Exp1B.5|Exp1B.1|Exp1B.2|Exp1B.6|Exp1B.3|Exp1B.7","|Exp2B.5|Exp2B.4|Exp2B.1|Exp2B.3|Exp2B.2","|Exp3B.4|Exp3B.1|Exp3B.5|Exp3B.7|Exp3B.6|Exp3B.2|Exp3B.3","|Exp4B.2|Exp4B.6|Exp4B.1|Exp4B.7|Exp4B.4|Exp4B.3|Exp4B.5",1,"B",639,"adults",NA,NA
"18","18","deeper","deeper","deeper","No!","No!","Figure out what cliffs Wendi will jump and what objects she likes.",71,51,0,76,66,61,44,31,16,16,46,29,31,31,17,8,10,32,100,51,85,88,87,51,13,11,13,71,51,0,63,73,71,76,71,94,32,51,2,21,39,51,73,87,99,"Wendi's favorite gelato flavor is sea salt caramel",0,52,"male","|Exp1B.2|Exp1B.4|Exp1B.6|Exp1B.5|Exp1B.7|Exp1B.3|Exp1B.1","|Exp2B.3|Exp2B.5|Exp2B.2|Exp2B.4|Exp2B.1","|Exp3B.6|Exp3B.1|Exp3B.7|Exp3B.5|Exp3B.2|Exp3B.4|Exp3B.3","|Exp4B.2|Exp4B.7|Exp4B.4|Exp4B.1|Exp4B.6|Exp4B.5|Exp4B.3",1,"B",640,"adults",NA,NA
"19","19","deeper","deeper","deeper","No!","No!","pick which objects Wendy likes.",71,51,4,77,61,57,43,32,30,21,50,38,28,19,9,9,7,32,100,51,100,87,74,51,31,2,1,71,51,7,72,72,71,75,80,98,31,51,3,24,28,7,38,69,94,"Wendi's favorite gelato flavor is sea salt caramel",0,65,"male","|Exp1B.6|Exp1B.4|Exp1B.7|Exp1B.1|Exp1B.3|Exp1B.5|Exp1B.2","|Exp2B.1|Exp2B.5|Exp2B.4|Exp2B.3|Exp2B.2","|Exp3B.7|Exp3B.1|Exp3B.6|Exp3B.2|Exp3B.5|Exp3B.3|Exp3B.4","|Exp4B.7|Exp4B.1|Exp4B.4|Exp4B.5|Exp4B.2|Exp4B.3|Exp4B.6",2,"B",641,"adults",NA,NA
"20","20","deeper","deeper","deeper","No!","No!","to figure out wendys  actions  ",71,50,0,96,37,37,34,20,18,13,30,27,25,0,0,0,0,32,90,50,100,87,75,49,10,9,1,71,50,7,83,89,88,81,81,100,21,51,0,4,79,51,65,17,96,"Wendi's favorite gelato flavor is sea salt caramel",0,33,"male","|Exp1B.5|Exp1B.2|Exp1B.4|Exp1B.1|Exp1B.3|Exp1B.7|Exp1B.6","|Exp2B.5|Exp2B.1|Exp2B.3|Exp2B.4|Exp2B.2","|Exp3B.3|Exp3B.6|Exp3B.1|Exp3B.4|Exp3B.7|Exp3B.2|Exp3B.5","|Exp4B.1|Exp4B.4|Exp4B.7|Exp4B.5|Exp4B.3|Exp4B.6|Exp4B.2",3,"B",635,"adults",NA,NA
"21","21","deeper","deeper","deeper","No!","No!","To figure out what cliffs Wendy will jump over and what objects she likes.",30,51,100,12,41,38,44,79,80,92,73,78,92,100,98,100,100,31,100,51,4,22,23,51,100,87,99,29,51,100,44,32,30,31,18,100,27,51,74,68,36,51,30,13,17,"Wendi's favorite gelato flavor is sea salt caramel",0,31,"female","|Exp1A.5|Exp1A.3|Exp1A.7|Exp1A.1|Exp1A.4|Exp1A.2|Exp1A.6","|Exp2A.3|Exp2A.2|Exp2A.5|Exp2A.1|Exp2A.4","|Exp3A.5|Exp3A.2|Exp3A.4|Exp3A.6|Exp3A.3|Exp3A.1|Exp3A.7","|Exp4A.4|Exp4A.6|Exp4A.7|Exp4A.1|Exp4A.3|Exp4A.5|Exp4A.2",3,"A",462,"adults",NA,NA
"22","22","deeper","deeper","deeper","No!","No!","what Wendi likes and what cliffs she will jump over.",30,51,100,51,29,27,28,0,32,0,99,80,90,70,100,75,70,33,100,50,65,34,100,0,54,73,77,32,51,100,30,0,51,90,76,100,0,52,100,78,78,51,22,21,5,"Wendi's favorite gelato flavor is sea salt caramel",0,30,"female","|Exp1A.3|Exp1A.2|Exp1A.1|Exp1A.7|Exp1A.5|Exp1A.4|Exp1A.6","|Exp2A.1|Exp2A.3|Exp2A.5|Exp2A.2|Exp2A.4","|Exp3A.3|Exp3A.7|Exp3A.1|Exp3A.2|Exp3A.6|Exp3A.4|Exp3A.5","|Exp4A.6|Exp4A.1|Exp4A.5|Exp4A.2|Exp4A.4|Exp4A.7|Exp4A.3",2,"A",260,"adults",NA,NA
"23","23","deeper","deeper","deeper","No!","No!","To figure out which things she likes and which cliffs she will jump over",72,51,0,82,79,91,88,81,100,100,29,32,4,21,19,0,0,30,100,50,100,100,98,50,26,0,1,72,51,0,51,72,73,74,72,100,20,50,0,7,21,39,66,66,97,"Wendi's favorite gelato flavor is sea salt caramel",0,64,"female","|Exp1B.3|Exp1B.4|Exp1B.1|Exp1B.5|Exp1B.2|Exp1B.7|Exp1B.6","|Exp2B.5|Exp2B.2|Exp2B.4|Exp2B.1|Exp2B.3","|Exp3B.6|Exp3B.2|Exp3B.5|Exp3B.3|Exp3B.7|Exp3B.1|Exp3B.4","|Exp4B.3|Exp4B.7|Exp4B.5|Exp4B.6|Exp4B.1|Exp4B.2|Exp4B.4",3,"B",685,"adults",NA,NA
"24","24","deeper","deeper","deeper","No!","No!","to find what cliff wendi will jump and how deep they are",28,51,100,22,22,28,68,69,62,51,9,32,24,82,44,25,44,30,100,49,85,34,13,91,84,34,100,28,51,100,3,94,52,93,27,100,25,51,98,77,27,0,7,19,0,"Wendi's favorite gelato flavor is sea salt caramel",0,23,"male","|Exp1A.5|Exp1A.2|Exp1A.3|Exp1A.7|Exp1A.4|Exp1A.6|Exp1A.1","|Exp2A.1|Exp2A.5|Exp2A.3|Exp2A.2|Exp2A.4","|Exp3A.3|Exp3A.4|Exp3A.2|Exp3A.7|Exp3A.5|Exp3A.1|Exp3A.6","|Exp4A.5|Exp4A.7|Exp4A.6|Exp4A.1|Exp4A.4|Exp4A.2|Exp4A.3",1,"A",275,"adults",NA,NA
"25","25","deeper","deeper","deeper","No!","No!","To find out what objects Wendi likes and what cliffs she will jump over.",71,50,7,80,70,60,57,42,38,38,29,28,27,29,9,8,2,31,95,51,97,92,82,50,29,25,8,72,50,9,71,71,71,71,71,96,24,50,7,8,22,51,79,94,95,"Wendi's favorite gelato flavor is sea salt caramel",0,44,"male","|Exp1B.3|Exp1B.6|Exp1B.7|Exp1B.5|Exp1B.1|Exp1B.4|Exp1B.2","|Exp2B.3|Exp2B.1|Exp2B.4|Exp2B.5|Exp2B.2","|Exp3B.4|Exp3B.3|Exp3B.1|Exp3B.2|Exp3B.7|Exp3B.6|Exp3B.5","|Exp4B.3|Exp4B.7|Exp4B.5|Exp4B.2|Exp4B.6|Exp4B.4|Exp4B.1",3,"B",585,"adults",NA,NA
"26","26","deeper","deeper","deeper","No!","No!","My job is to find out which objects Wendi likes and which cliffs she'll jump over.",70,50,0,70,70,70,51,29,0,0,29,29,0,0,0,0,0,31,100,50,70,70,73,50,32,32,31,73,50,0,70,70,70,71,70,100,13,51,0,0,0,0,28,88,100,"Wendi's favorite gelato flavor is sea salt caramel",0,34,"male","|Exp1B.4|Exp1B.1|Exp1B.3|Exp1B.7|Exp1B.2|Exp1B.5|Exp1B.6","|Exp2B.5|Exp2B.3|Exp2B.4|Exp2B.3|Exp2B.4|Exp2B.2|Exp2B.1","|Exp3B.4|Exp3B.5|Exp3B.6|Exp3B.7|Exp3B.3|Exp3B.2|Exp3B.1","|Exp4B.3|Exp4B.7|Exp4B.4|Exp4B.6|Exp4B.5|Exp4B.1|Exp4B.2",1,"B",704,"adults",NA,NA
"27","27","deeper","deeper","deeper","No!","No!","Figure out which cliffs wendi will jump over to get to items on the other side.",30,51,92,51,70,71,71,71,71,72,51,71,82,93,93,93,94,31,100,50,51,50,50,50,50,50,50,30,51,91,30,30,30,30,30,94,21,51,95,80,37,6,7,6,0,"Wendi's favorite gelato flavor is sea salt caramel",0,46,"female","|Exp1A.2|Exp1A.3|Exp1A.6|Exp1A.7|Exp1A.5|Exp1A.4|Exp1A.1","|Exp2A.4|Exp2A.5|Exp2A.3|Exp2A.2|Exp2A.1","|Exp3A.4|Exp3A.6|Exp3A.1|Exp3A.2|Exp3A.3|Exp3A.5|Exp3A.7","|Exp4A.4|Exp4A.7|Exp4A.1|Exp4A.2|Exp4A.3|Exp4A.6|Exp4A.5",1,"A",787,"adults",NA,NA
"28","28","deeper","deeper","deeper","No!","No!","to figure out what she likes and which cliffs she will jump",30,51,93,51,51,51,57,70,71,71,57,69,70,73,81,86,85,32,92,51,29,31,33,51,69,72,68,31,51,94,42,42,32,30,32,93,23,51,95,81,64,51,36,23,6,"Wendi's favorite gelato flavor is sea salt caramel",0,30,"female","|Exp1A.1|Exp1A.2|Exp1A.6|Exp1A.4|Exp1A.3|Exp1A.7|Exp1A.5","|Exp2A.5|Exp2A.4|Exp2A.1|Exp2A.2|Exp2A.3","|Exp3A.6|Exp3A.4|Exp3A.7|Exp3A.1|Exp3A.3|Exp3A.2|Exp3A.5|Exp3A.5","|Exp4A.3|Exp4A.4|Exp4A.5|Exp4A.2|Exp4A.7|Exp4A.6|Exp4A.1",3,"A",461,"adults",NA,NA
"29","29","deeper","deeper","deeper","No!","No!","To find out which things Wendi likes, and which cliffs she is willing to jump over.",30,50,92,35,34,51,46,49,46,51,77,59,77,62,77,81,89,31,90,51,13,29,30,51,74,77,69,30,50,91,65,55,37,37,39,96,25,51,80,76,59,32,26,10,2,"Wendi's favorite gelato flavor is sea salt caramel",0,28,"female","|Exp1A.4|Exp1A.5|Exp1A.1|Exp1A.6|Exp1A.3|Exp1A.2|Exp1A.7","|Exp2A.3|Exp2A.4|Exp2A.5|Exp2A.2|Exp2A.1","|Exp3A.1|Exp3A.3|Exp3A.5|Exp3A.2|Exp3A.4|Exp3A.7|Exp3A.6","|Exp4A.1|Exp4A.3|Exp4A.4|Exp4A.2|Exp4A.7|Exp4A.6|Exp4A.5",2,"A",652,"adults",NA,NA
"30","30","deeper","deeper","deeper","No!","No!","to find out what objects she likes.",30,51,100,31,46,46,59,54,57,51,51,53,71,77,70,93,85,32,99,51,0,0,19,51,83,86,93,34,51,100,49,44,33,51,49,98,7,51,78,85,35,51,49,4,66,"Wendi's favorite gelato flavor is sea salt caramel",0,63,"female","|Exp1A.6|Exp1A.7|Exp1A.2|Exp1A.1|Exp1A.4|Exp1A.3|Exp1A.5","|Exp2A.3|Exp2A.2|Exp2A.5|Exp2A.4|Exp2A.1","|Exp3A.1|Exp3A.5|Exp3A.7|Exp3A.6|Exp3A.2|Exp3A.4|Exp3A.3","|Exp4A.7|Exp4A.5|Exp4A.1|Exp4A.4|Exp4A.6|Exp4A.3|Exp4A.2",2,"A",862,"adults",NA,NA
"31","31","deeper","deeper","deeper","No!","No!","I have to find the object which weendi likes.",72,52,0,69,71,32,69,75,31,32,52,0,27,31,73,0,0,32,100,52,100,72,73,51,33,31,32,73,52,0,72,31,72,73,51,100,27,51,29,82,70,57,76,17,0,"Wendi's favorite gelato flavor is sea salt caramel",0,29,"female","|Exp1B.2|Exp1B.6|Exp1B.4|Exp1B.7|Exp1B.5|Exp1B.1|Exp1B.3","|Exp2B.5|Exp2B.1|Exp2B.4|Exp2B.2|Exp2B.3","|Exp3B.1|Exp3B.4|Exp3B.5|Exp3B.7|Exp3B.2|Exp3B.3|Exp3B.6","|Exp4B.5|Exp4B.3|Exp4B.2|Exp4B.1|Exp4B.4|Exp4B.6|Exp4B.7",1,"B",850,"adults",NA,NA
"32","32","deeper","deeper","deeper","No!","No!","to help wendi jump across the cliffs",71,51,8,55,65,66,73,82,81,93,43,39,36,32,30,16,13,33,91,51,92,79,70,51,23,19,17,68,50,9,61,67,68,76,81,97,20,51,0,9,39,45,41,81,99,"Wendi's favorite gelato flavor is sea salt caramel",0,50,"male","|Exp1B.4|Exp1B.2|Exp1B.1|Exp1B.5|Exp1B.6|Exp1B.7|Exp1B.3","|Exp2B.3|Exp2B.2|Exp2B.5|Exp2B.1|Exp2B.4","|Exp3B.7|Exp3B.6|Exp3B.2|Exp3B.4|Exp3B.3|Exp3B.5|Exp3B.1","|Exp4B.1|Exp4B.3|Exp4B.6|Exp4B.2|Exp4B.5|Exp4B.7|Exp4B.4",1,"B",647,"adults",NA,NA
